Case 1 - Low Confidence ( 2393 )
==================================================
HYPONYM(europe, cities)
HYPONYM(critical_commentary, features)
HYPONYM(a_pallid_knight, stock_fairy-tale_characters)
HYPONYM(a_ronald_reagan_tribute, specials)
HYPONYM(candidates_debate_ground_rules, technical_matters)
HYPONYM(nausea, flulike_symptoms)
HYPONYM(an_enforcement_discretion, enforcement_tool)
HYPONYM(suffolk_county_executive_steve_levy, officials)
HYPONYM(a_36_percent_decrease, violent_crime)
HYPONYM(a_fitness_room, the_building)
HYPONYM(senators_susan_collins, other_republicans)
HYPONYM(''inappropriate_contributions, things)
HYPONYM(an_upper-crust_racetrack, a_few_outdoor_oases)
HYPONYM(piedmont, storied_locations)
HYPONYM(diana_son, actors)
HYPONYM(paul_bhattacharjee, british_asians)
HYPONYM(helicopters, emergency_rescue_craft)
HYPONYM(boston, major_markets)
HYPONYM(gov._george_e._pataki, new_york_cheerleaders)
HYPONYM(united_nations_ambulances, facilities)
HYPONYM(''high_fidelity, other_documentary_films)
HYPONYM(the_discovery, trial)
HYPONYM(the_pictures_chronicle_signs, bits)
HYPONYM(mr._kennedy, liberal_senators)
HYPONYM(a_jumper, a_career-high_31_points)
HYPONYM(jerusalem, several_areas)
HYPONYM(a_report, iraq)
HYPONYM(grape_variety, criteria)
HYPONYM(an_israeli_withdrawal, body_parts)
HYPONYM(some_orthodox_parties, a_broad_coalition)
HYPONYM(scuds, shorter-range_conventional_missiles)
HYPONYM(the_operation, projects)
HYPONYM(a_$16_million_signing_bonus, $66_million_contract)
HYPONYM(superwoman, characters)
HYPONYM(students, would-be_targets)
HYPONYM(the_el_morocco, career)
HYPONYM(firefighters, city_workers)
HYPONYM(mtv, viacom_cable_channels)
HYPONYM(manhasset, long_island)
HYPONYM(mortgage_advice, services)
HYPONYM(video_lottery_terminals, gambling)
HYPONYM(wetlands, coastal_ecosystems)
HYPONYM(tariq_aziz, former_advisers)
HYPONYM(thali, expensive_restaurants)
HYPONYM(state_senator_nicholas_a._spano, some_republicans)
HYPONYM(ms._berman, executives)
HYPONYM(mr._merrill, several_poets)
HYPONYM(the_satmar_community, orthodox_jews)
HYPONYM(2002_census_data, public_documents)
HYPONYM(singapore, distant_points)
HYPONYM(the_minimum_wage, domestic_priorities)
HYPONYM(data, development_arm)
HYPONYM(national_geographic, newer_networks)
HYPONYM(circuit_city, retailers)
HYPONYM(the_dark_meat, chicken)
HYPONYM(a_buyout, options)
HYPONYM(mr._lockhart, democrats)
HYPONYM(restless_legs_syndrome, sleep_ailments)
HYPONYM(reduction_linoleum_cuts, arcane_techniques)
HYPONYM(the_countryside, west_bengal)
HYPONYM(a_wine_teacher, wine_professionals)
HYPONYM(severe_domestic_abuse, forms)
HYPONYM(a_hot_tub, shuttle_furniture)
HYPONYM(additional_luxury_boxes, continental_arena)
HYPONYM(crab_cakes, elaborate_concoctions)
HYPONYM(marketing_discounts, incentives)
HYPONYM(neiman_marcus, influential_retailers)
HYPONYM(strawberry_field, places)
HYPONYM(''a_bar, experience_bartending)
HYPONYM(defenseman_adrian_aucoin, 18_unsigned_players)
HYPONYM(red_star, the_way)
HYPONYM(own_initiatives, strong_remedies)
HYPONYM(the_chief_film_critic, reviewers)
HYPONYM(a_roof, some_projects)
HYPONYM(japan, more_affluent_countries)
HYPONYM(ingenious_cherry_tomatoes, garden_parties)
HYPONYM(mr._hartley, local_residents)
HYPONYM(sequence, complex_genomes)
HYPONYM(the_younger_ones, many_motoboys)
HYPONYM(one_homicide, three_others)
HYPONYM(a_teacher, inspirational_adult)
HYPONYM(sites, trouble_spots)
HYPONYM(friday, only_11_days)
HYPONYM(''what, other_possibilities)
HYPONYM(the_corporation, ''university_officials)
HYPONYM(''clerks, previous_features)
HYPONYM(tiger_woods, tour_heavyweights)
HYPONYM(a_jaunty_ditty, songs)
HYPONYM(dr._dobson, several_prominent_conservative_christians)
HYPONYM(a_plan, some_joint_ventures)
HYPONYM(dr._allawi, officials)
HYPONYM(women, a_14_1/_2-year_period)
HYPONYM(the_harlem_river, upper_manhattan)
HYPONYM(9_lt._gen._david_mckiernan, senior_officers)
HYPONYM(national_public_radio, familiar_names)
HYPONYM(falluja, parts)
HYPONYM(best_comedy_series, seven_nominations)
HYPONYM(albert_hadley, prominent_designers)
HYPONYM(ms._richards, democrats)
HYPONYM(the_amounts, a_budget)
HYPONYM(state_colin_l._powell, american_officials)
HYPONYM(the_time, devout_widower_dad)
HYPONYM(young_recruits, personnel)
HYPONYM(seals, official_iconography)
HYPONYM(command, listed_general_possibilities)
HYPONYM(a_computer, device)
HYPONYM(mr._kerry, organizers)
HYPONYM(two_microsoft_employees, the_officials)
HYPONYM(the_first_free-standing_joseph_abboud_fashion_store, some_new_offerings)
HYPONYM(respected_scholars, academics)
HYPONYM(medical_supplies, a_day)
HYPONYM(cellphones, products)
HYPONYM(yokohama_rubber, 10_japanese_tire_makers)
HYPONYM(sudan, strife-stricken_countries)
HYPONYM(craig_a._conway, four_board_members)
HYPONYM(tony_hawk, figures)
HYPONYM(the_c._i._a., organizations)
HYPONYM(general_motors, any_year)
HYPONYM(the_island, sumatra)
HYPONYM(crowns, dental_devices)
HYPONYM(wines, four_courses)
HYPONYM(a_leopard_shark, 1,000_tropical_fish)
HYPONYM(live_eagles, performers)
HYPONYM(tax, other_services)
HYPONYM(sbc_communications, four_largest_local_phone_companies)
HYPONYM(the_easiest_level, extra_features)
HYPONYM(larry_ashmead, neighbors)
HYPONYM(the_house_speaker, the_compromise_amendment)
HYPONYM(the_city_council, least_four_ukrainian_cities)
HYPONYM(verizon_communications, large_companies)
HYPONYM(nat_king_cole, singers)
HYPONYM(spicy_pear, these_homemade_jams)
HYPONYM(leadership_changes, procedures)
HYPONYM(the_harvard_jurist_john_gray, circle)
HYPONYM(sand, a_list)
HYPONYM(40_specialty_catalogs, the_catalogs)
HYPONYM(the_last_28_laps, 200_laps_sunday)
HYPONYM(a_dedicated_undersea_cable, vast_internet_bandwidth)
HYPONYM(tiger_woods, top_athletes)
HYPONYM(bedsheets, items)
HYPONYM(the_packet8_videophone, units)
HYPONYM(ask_jeeves, rich_payouts)
HYPONYM(bill_brandt, other_photographers)
HYPONYM(spyware, system-slowing_software)
HYPONYM(superintendent, banking_regulators)
HYPONYM(administrative_office_space, changes)
HYPONYM(engineering, several_courses)
HYPONYM(hotels, $11,990)
HYPONYM(heart_disease, serious_problems)
HYPONYM(barry_manilow, artists)
HYPONYM(''the_lord, the_oscar_voters)
HYPONYM(a_residence, 5_p._m.)
HYPONYM(mr._bin_laden, qaeda_members)
HYPONYM(the_creation, many_innovations)
HYPONYM(medical_systems, other_divisions)
HYPONYM(a_photographer, the_scene)
HYPONYM(product_images, standard_web_page_elements)
HYPONYM(a_cameraman, the_police)
HYPONYM(a_buffet_breakfast, double_occupancy)
HYPONYM(major_control, the_police_department)
HYPONYM(ofoto, a_few_online_photo_services)
HYPONYM(underwriting, other_systems)
HYPONYM(bill_thompson, an_accomplished_production_team)
HYPONYM(telephone_lines, new_services)
HYPONYM(terrorism, violent_crimes)
HYPONYM(a_piano, collection)
HYPONYM(dr._shemansky, scientists)
HYPONYM(bedsheets, household_debris)
HYPONYM(eastern_equine_encephalitis, people)
HYPONYM(music_players, gizmos)
HYPONYM(capt._david_mcgraw, commanders)
HYPONYM(the_community_garden, the_complete_renovation)
HYPONYM(five_jobs, county_offices)
HYPONYM(united_states_representative_joseph_crowley, democratic_politicians)
HYPONYM(the_restoration, april)
HYPONYM(vermont, some_states)
HYPONYM(restaurants, three_stories)
HYPONYM(high_school_students, education_advocates)
HYPONYM(the_mast, 1,070_feet)
HYPONYM(the_energy_industry, longtime_backers)
HYPONYM(this_three-stroke_victory, 12_top-10_finishes)
HYPONYM(fluorescent_glare, trade_shows)
HYPONYM(liberated_lawn_chairs, bits)
HYPONYM(police_officials, four_people)
HYPONYM(dr._john, researchers)
HYPONYM(even_free_television, different_ways)
HYPONYM(the_philippines, distant_points)
HYPONYM(rockwell_kent, a_century)
HYPONYM(a_reduction, crime)
HYPONYM(southern_baptists, the_population)
HYPONYM(eliza_gilkyson, songwriters)
HYPONYM(''john_adams, young_adults)
HYPONYM(ms._stewart, the_trial)
HYPONYM(51_pistols, 69_weapons)
HYPONYM(mr._bacanovic, sources)
HYPONYM(pina_bausch, performers)
HYPONYM(ones, 30_courses)
HYPONYM(president_bush, the_war)
HYPONYM(heart_disease, serious_ailments)
HYPONYM(washington_square_united_methodist, congregations)
HYPONYM(terror_attacks, emergencies)
HYPONYM(target, american_retailers)
HYPONYM(beaujolais, nouveau_wines)
HYPONYM(pdvsa_financing, donations)
HYPONYM(mr._rumsfeld, hawks)
HYPONYM(opposition, cultural_issues)
HYPONYM(mr._drayton, members)
HYPONYM(an_$800_million_convention_center, large_construction_projects)
HYPONYM(green_bus_lines, the_companies)
HYPONYM(more_overweight, experts)
HYPONYM(many_businesses, early_adopters)
HYPONYM(two_chinese_travelers, four_people)
HYPONYM(the_arts, consultants)
HYPONYM(young, rubicam_brands_agencies)
HYPONYM(the_defacement, lesser_crimes)
HYPONYM(mr._kerry, senate_democrats)
HYPONYM(madeleine_stowe, customers)
HYPONYM(two_dozen, wal-mart)
HYPONYM(najaf, towns)
HYPONYM(mr._scrushy, executives)
HYPONYM(colonial_times, historical_periods)
HYPONYM(criminal_charges, on-time_information)
HYPONYM(uncensored_r-rated_movies, age_appropriateness)
HYPONYM(jacky_terrasson, musicians)
HYPONYM(the_associated_press, news_organizations)
HYPONYM(candyland, games)
HYPONYM(pump_organ, a_band)
HYPONYM(meals, double_occupancy)
HYPONYM(crocodile_meat, luxury_goods)
HYPONYM(vast_numbers, afghan_farmers)
HYPONYM(major_supply_routes, critical_installations)
HYPONYM(act, 32_groups)
HYPONYM(speech_development, lasting_consequences)
HYPONYM(argentina, iden_networks)
HYPONYM(ladoo, south_asian_indians)
HYPONYM(the_aflac_duck, gigs)
HYPONYM(excelsior, the_era)
HYPONYM(william, old_staff)
HYPONYM(the_c._i._a., the_intelligence_community)
HYPONYM(nexium, drugs)
HYPONYM(lloyd_bentsen_iii, texas_privilege)
HYPONYM(united_states_postal_service_team, major_teams)
HYPONYM(the_case, u._s._a.)
HYPONYM(columbia, several_universities)
HYPONYM(a_corner_seating_unit, the_furniture)
HYPONYM(a_car_mechanic, least_two_others)
HYPONYM(the_former_assemblyman, political_rivals)
HYPONYM(the_fish, several_agencies)
HYPONYM(lambda_legal, gay_marriage)
HYPONYM(offensive_linemen_orlando_pace, high-profile_unrestricted_free_agents)
HYPONYM(salt_lake_city, the_west)
HYPONYM(mobile_homes, low-income_areas)
HYPONYM(humidity, environmental_data)
HYPONYM(karita_mattila, soloists)
HYPONYM(the_noise, nuisances)
HYPONYM(the_phat_farm_clothing_label, sprawling_business_ventures)
HYPONYM(paul_maurice, longer_n._h._l._coaching_résumés)
HYPONYM(clay_aiken, finalists)
HYPONYM(a_record_producer, many_things)
HYPONYM(so-called_sleeper_cells, the_united_states)
HYPONYM(dirt, unfriendly_substances)
HYPONYM(programs, last_count)
HYPONYM(the_metropolitan_opera, most_american_houses)
HYPONYM(garcia, six_witnesses)
HYPONYM(the_basement, three_stories)
HYPONYM(the_arab_news_media, delegations)
HYPONYM(the_comptroller, democrats)
HYPONYM(some_restaurant_owners, many_commercial_customers)
HYPONYM(traditional_irish_tunes, world_music)
HYPONYM(o'reilly, the_event)
HYPONYM(eivind_opsvik, aesthetic_map)
HYPONYM(the_middle_east, neighboring_countries)
HYPONYM(roofers, outdoor_workmen)
HYPONYM(private_libraries, storage)
HYPONYM(the_pivotal_swing_states, this_fall)
HYPONYM(''par_amour, three_movies)
HYPONYM(local_communities, industries)
HYPONYM(the_hostage, iraq)
HYPONYM(bruce_springsteen, many_artists)
HYPONYM(media_planning, the_account)
HYPONYM(a_friend, advisers)
HYPONYM(pulitzer_prize_winners, new_york)
HYPONYM(nancy_larraine_hoffmann, this_year)
HYPONYM(equipment, small_memorabilia)
HYPONYM(481_noncriminal_removals, long_island)
HYPONYM(parks, large-scale_development)
HYPONYM(interstate, alternate_routes)
HYPONYM(members, the_president)
HYPONYM(m, subway_service)
HYPONYM(mr._courtney, officials)
HYPONYM(the_actors_barbra_streisand, stars)
HYPONYM(a_discount, russian_oil_companies)
HYPONYM(browser-based_applications, web_technology_standards)
HYPONYM(witness, eight_counts)
HYPONYM(electronic_gadgetry, more_conventional_categories)
HYPONYM(early_work, five_decades)
HYPONYM(surveillance, detailed_planning)
HYPONYM(the_united_negro_college_fund, organizations)
HYPONYM(baseball, most_sports)
HYPONYM(a_reading, the_14th_street_y)
HYPONYM(chino_rodriguez, several_aliases)
HYPONYM(weather, a_wireless_phone_call)
HYPONYM(southwest_unimog, each_year)
HYPONYM(andré_arbus, 20th-century_european_design)
HYPONYM(britain, eight_countries)
HYPONYM(child_care, social_programs)
HYPONYM(the_pianist_bruce_barth, a_quartet)
HYPONYM(the_salt_lake_county_district_attorney, political_life)
HYPONYM(mr._mcauliffe, party_leaders)
HYPONYM(the_palm_beach_county_elections_supervisor, election_officials)
HYPONYM(representative_steny_h._hoyer, democrats)
HYPONYM(a_wonderful_dinner_scene, some_wildly_comic_touches)
HYPONYM(5,000_republican_delegates, new_york_city)
HYPONYM(ms._mod, houston_preservationists)
HYPONYM(the_47-yarder, toomer)
HYPONYM(verizon, regional_bells)
HYPONYM(washington, six_states)
HYPONYM(the_journal, several_major_medical_journals)
HYPONYM(tennessee, seven_states)
HYPONYM(180_remsen_street, brooklyn_union_properties)
HYPONYM(the_inevitable_''girl, jobim_standards)
HYPONYM(recent_pay_stubs, proof)
HYPONYM(elevators, anonymous_zones)
HYPONYM(a_report, several_earlier_judgments)
HYPONYM(a_nursery, some_commercial_property)
HYPONYM(information_tech_companies, several_health_investments)
HYPONYM(a_club_charter_flight, a_couple)
HYPONYM(michael, other_tapsters)
HYPONYM(performances, big_free_outdoor_events)
HYPONYM(mr._spano, state_lawmakers)
HYPONYM(domestic_policy, issues)
HYPONYM(the_ornate_archbishop, headquarters_complex)
HYPONYM(''the_unanswered_question, other_orchestral_works)
HYPONYM(the_tatas, other_prominent_business_families)
HYPONYM(dizziness, flulike_symptoms)
HYPONYM(siah_armajani, the_collection)
HYPONYM(the_butmans, emissaries)
HYPONYM(the_settlement, police_department_employees)
HYPONYM(john_dowland, 17th-century_english_composers)
HYPONYM(especially_puerto_ricans, non-cuban_hispanics)
HYPONYM(a_2003_''primetime_live, four_broadcast_reports)
HYPONYM(the_high-scoring_allen_iverson, other_guards)
HYPONYM(jose_padilla, important_evidence)
HYPONYM(last_week, every_day)
HYPONYM(mr._bush, many_yalies)
HYPONYM(transfer_pricing, corporate_governance_abuses)
HYPONYM(''the_simple_life, recent_years)
HYPONYM(a_gala, the_met)
HYPONYM(sun, tech_start-ups)
HYPONYM(the_number, variables)
HYPONYM(rape_kits, evidence)
HYPONYM(falluja, troops)
HYPONYM(six-strand_braids, elaborate_shapes)
HYPONYM(mr._greenberg, senior_executives)
HYPONYM(robert_crumb, cartoonist_luminaries)
HYPONYM(home_depot, american_companies)
HYPONYM(mr._mintz, investigators)
HYPONYM(royal_troon, several_courses)
HYPONYM(chechen, terrorists)
HYPONYM(the_west_bank_barrier, issues)
HYPONYM(the_cbs_unit, the_suitors)
HYPONYM(janice_pendarvis, performers)
HYPONYM(u._s._digital, plans)
HYPONYM(mining_industries, economic_interests)
HYPONYM(15_moroccans, the_case)
HYPONYM(public_pressure, several_factors)
HYPONYM(column_capitals, woodwork)
HYPONYM(a_3-pointer, 12_points)
HYPONYM(david_henry_hwang, the_company)
HYPONYM(uttappam, 10_south_indian_tiffins)
HYPONYM(senior_government_officials, many_indonesians)
HYPONYM(land_trusts, conservation)
HYPONYM(eight_comeback_victories, 14_games)
HYPONYM(nixon-era_mastodons, such_overbuilt_rear-drive_vehicles)
HYPONYM(government, industry_executives)
HYPONYM(the_new_york_version, shows)
HYPONYM(management_studies, job_training)
HYPONYM(the_application_forms, documentation)
HYPONYM(habitat_destruction, human_activities)
HYPONYM(lawn_mowers, small_engines)
HYPONYM(embraer, aircraft_companies)
HYPONYM(pete_rose, reflections)
HYPONYM(japan, 14_nations)
HYPONYM(manhasset_hills, communities)
HYPONYM(broad_jump, basic_drills_coaches)
HYPONYM(calpine, other_companies)
HYPONYM(exterior_walls, common_areas)
HYPONYM(young_explorers, toy_catalogs)
HYPONYM(mr._thomas, lawmakers)
HYPONYM(a_cadillac_escalade, the_suspects)
HYPONYM(the_voice, publications)
HYPONYM(anne_dula-jeltsch, several_artists)
HYPONYM(different_pricing, potential_initiatives)
HYPONYM(fairfield, 200_catholic_colleges)
HYPONYM(legitimacy, seven_criteria)
HYPONYM(rank_''fourth, neighboring_counties)
HYPONYM(a_personal_cook, staff)
HYPONYM(several_''biscuit, about_35_books)
HYPONYM(denver, 20_cities)
HYPONYM(printing_blocks, preparatory_materials)
HYPONYM(psoriatic_arthritis, painful_disorders)
HYPONYM(the_ipod, special_projects)
HYPONYM(florida, 13_states)
HYPONYM(lead, dangerous_substances)
HYPONYM(steve_levy, fiscal_conservatives)
HYPONYM(the_impact, the_extension)
HYPONYM(many_big_league_sluggers, athletes)
HYPONYM(the_3-in-1_pills, generic_antiretrovirals)
HYPONYM(financial_ledgers, once-thriving_prostitution_business)
HYPONYM(alan_cumming, some_friends)
HYPONYM(cherubim, neo-classical_ornamentation)
HYPONYM(colorado, other_senate_races)
HYPONYM(seven_murders, crimes)
HYPONYM(captain_moran, officers)
HYPONYM(forbes, magazines)
HYPONYM(alabama, some_places)
HYPONYM(jobs, domestic_concerns)
HYPONYM(8_assault_weapons, 69_weapons)
HYPONYM(the_sketches, circumstantial_evidence)
HYPONYM(leisure_time, soldier_life)
HYPONYM(the_thoughtful_roman_catholic_bishop, opponents)
HYPONYM(colin_powell, u._s._officials)
HYPONYM(senator_john_w._warner, senate_leaders)
HYPONYM(eastern_europe, nations)
HYPONYM(an_''unborn_child_pain_awareness_act, this_year)
HYPONYM(plain_bond_paper, throwaway_items)
HYPONYM(molly_maguires, a_few_bars)
HYPONYM(the_independent_california_air_resources_board, agencies)
HYPONYM(a_new_wing, extensive_updates)
HYPONYM(many_suicide_bombings, attacks)
HYPONYM(unlimited_access, full_authority)
HYPONYM(vermont, democratic_presidential_aspirants)
HYPONYM(chief_financial_officer, entire_former_management_team)
HYPONYM(hewlett-packard, major_manufacturers)
HYPONYM(the_new_haven_register, 23_daily_newspapers)
HYPONYM(the_relatives, oklahoma)
HYPONYM(''that, 20_percent)
HYPONYM(wrinkles, facial_landmarks)
HYPONYM(more_help, needed_supplies)
HYPONYM(childsii, description)
HYPONYM(civilians, 25_palestinians)
HYPONYM(a_coke, $12.50)
HYPONYM(the_singers_ismael_miranda, guests)
HYPONYM(the_school_hostage-taking, the_last_month)
HYPONYM(asbestos-related_cancers, illnesses)
HYPONYM(wood, natural_materials)
HYPONYM(government, an_antipiracy_task_force)
HYPONYM(miguel, day_workers)
HYPONYM(the_southeastern_conference_championship_game, last_season)
HYPONYM(bp, integrated_oil_companies)
HYPONYM(rape, violent_crimes)
HYPONYM(drugs, new_technologies)
HYPONYM(pesticides, a_list)
HYPONYM(jonathan_horowitz, 14_artists)
HYPONYM(the_new_york_stock_exchange, prominent_financial_institutions)
HYPONYM(changes, abu_ghraib)
HYPONYM(satellites, electronic_eavesdropping)
HYPONYM(a_scene, pieces)
HYPONYM(highlights, short_programs)
HYPONYM(christo, artists)
HYPONYM(a_double_suicide_bombing, gaza)
HYPONYM(young_families, 30_people)
HYPONYM(recreation_centers, new_york_system)
HYPONYM(blacks, minority_comics)
HYPONYM(the_bank, 140_creditors)
HYPONYM(fewer_benefits, cost-saving_measures)
HYPONYM(iraq, the_middle_east)
HYPONYM(four_other_cases, senior_state_agency_officials)
HYPONYM(''i, things)
HYPONYM(sinai, interim_peace_deals)
HYPONYM(a_lengthy_application, two_years)
HYPONYM(nerve_damage, side_effects)
HYPONYM(planet_hollywood, best-known_restaurants)
HYPONYM(senator_orrin_g._hatch, republicans)
HYPONYM(the_showboat, seven_casinos)
HYPONYM(ms._chekowsky, 12_students)
HYPONYM(a_$950_pavé_diamond_bracelet, starter_jewelry)
HYPONYM(the_string_cheese_incident, bands)
HYPONYM(filet, well-done_finnish_soul_food)
HYPONYM(reuters, media_companies)
HYPONYM(henry_vane, social_reform)
HYPONYM(80_political_coalitions, groups)
HYPONYM(the_bbc, channels)
HYPONYM(copyrights, business_matters)
HYPONYM(leon_fleisher, world_war_ii)
HYPONYM(the_postseason, this_season)
HYPONYM(courtyard_houses, the_miami_design_district)
HYPONYM(the_nassau_comptroller, officials)
HYPONYM(the_seven_members, wayward_soldiers)
HYPONYM(the_fairmont_queen_elizabeth, best_hotels)
HYPONYM(the_series-clinching_game, last_nine_starts)
HYPONYM(food_deprivation, some_detainees)
HYPONYM(jeff_daniels, deliberately_tired-looking_character_actors)
HYPONYM(former_mayor_edward_i._koch, mr._suozzi)
HYPONYM(drawings, ferdinand_bloch-bauer)
HYPONYM(richard_a._causey, others)
HYPONYM(elvis_presley, recording_artists)
HYPONYM(music_scores, material)
HYPONYM(a_fine, action)
HYPONYM(cherry_hill, the_state)
HYPONYM(celebrities, tuesday_night)
HYPONYM(the_times, mainstream_media)
HYPONYM(the_qaqaa_stockpile, i._a._e._a._supervision)
HYPONYM(a_dozen, federal_officers)
HYPONYM(many_women, innocent_iraqis)
HYPONYM(the_chamber, many_groups)
HYPONYM(personnel_files, documents)
HYPONYM(austin, metropolitan_areas)
HYPONYM(20_nobel_laureates, prominent_scientists)
HYPONYM(food, $35)
HYPONYM(the_chain_booksellers, national_retailers)
HYPONYM(spanish_workbooks, the_mayfield_home)
HYPONYM(the_former_chief_executive, many_other_executives)
HYPONYM(''cinderella, tales)
HYPONYM(lebanon, several_neighboring_countries)
HYPONYM(the_pensions, retirement_benefits)
HYPONYM(joni_mitchell, influential_music_stars)
HYPONYM(repetition, other_devices)
HYPONYM(guide_bulletins, means)
HYPONYM(the_national_security_advisor, some_high-level_appointees)
HYPONYM(gabriel_garcía_márquez, latin_american_practitioners)
HYPONYM(a_chef, the_130_seats)
HYPONYM(nine_high_c, an_aria)
HYPONYM(a_disco, that_property)
HYPONYM(the_sale, last_year)
HYPONYM(this_month, executives)
HYPONYM(city_ballet, companies)
HYPONYM(a_difficult_four-game_trip, the_road)
HYPONYM(franklin_d._raines, three_top_executives)
HYPONYM(antipollution_laws, other_factors)
HYPONYM(several_life-saving_vaccines, therapies)
HYPONYM(the_association, tournaments)
HYPONYM(williams, those_marines)
HYPONYM(a_modern_mansion, the_settings)
HYPONYM(cure_arthritis, ailments)
HYPONYM(war, such_momentous_issues)
HYPONYM(bmw, companies)
HYPONYM(teaching_anatomy, basic_medical_science)
HYPONYM(ntozake_shange, more_contemporary_poets)
HYPONYM(the_cash_management_account, the_next_few_months)
HYPONYM(dvd_players, high-tech_devices)
HYPONYM(the_candidate, eight_other_people)
HYPONYM(postcards, incidental_work)
HYPONYM(magazines, so-called_minor_sources)
HYPONYM(darius_de_haas, singers)
HYPONYM(dr._gambetti, pathologists)
HYPONYM(50_songs, recordings)
HYPONYM(former_gov._william_a._o'neill, dignitaries)
HYPONYM(pfizer, drug_companies)
HYPONYM(the_interactive_advertising_bureau, industry_organizations)
HYPONYM(the_house, the_state)
HYPONYM(then_arizona, swing_states)
HYPONYM(honduras, latin_american_countries)
HYPONYM(russia, eastern_europe)
HYPONYM(a_dozen, listings)
HYPONYM(thermal_imaging_devices, the_united_states)
HYPONYM(samuel_d._waksal, many_other_executives)
HYPONYM(a_robot_mission, options)
HYPONYM(150_paintings, 200_works)
HYPONYM(anatole_vilzak, other_russian_teachers)
HYPONYM(the_din, nuisances)
HYPONYM(mr._kerry, veterans)
HYPONYM(another_brother, six_others)
HYPONYM(foreign_minister_saud_al-faisal, senior_saudi_officials)
HYPONYM(the_united_states_supreme_court, any_federal_court)
HYPONYM(bedding_superman, more_earthly_pursuits)
HYPONYM(americorps, the_senate)
HYPONYM(mexico, latin_american_nations)
HYPONYM(a_swimming_pool, fitness_areas)
HYPONYM(sue_monk_kidd, independent_stores)
HYPONYM(the_feudal_adventure, different_japanese_genres)
HYPONYM(oils, defensive_areas)
HYPONYM(randy_quaid, an_impressively_starry_cast)
HYPONYM(''you, some_lovely_numbers)
HYPONYM(women, this_burden)
HYPONYM(video-on-demand, services)
HYPONYM(dioramas, the_complex)
HYPONYM(fairfield_county, new_york)
HYPONYM(the_croton_rivers, the_area)
HYPONYM(the_quick-reference_card, printed_materials)
HYPONYM(both_equipment, technology)
HYPONYM(diet_pills, products)
HYPONYM(the_senior_vice_president, baseball_staff)
HYPONYM(recordings, neo-nazi_music)
HYPONYM(n._y., survivors)
HYPONYM(sunni_arabs, other_groups)
HYPONYM(the_electronic_privacy_information_center, other_high-tech_policy_groups)
HYPONYM(theaters, arts_organization)
HYPONYM(baltimore, the_northeast)
HYPONYM(the_former_parliament_member_leyla_zana, four_well-known_kurdish_activists)
HYPONYM(income, socioeconomic_characteristics)
HYPONYM(automatic_transmissions, technical_novelties)
HYPONYM(larger-radius_wheels, high-performance_wheel_setups)
HYPONYM(soccer, most_sports)
HYPONYM(the_new_york_times, other_cities)
HYPONYM(andrew_wk, rock_bands)
HYPONYM(the_role, the_document)
HYPONYM(nostalgia, broader_trends)
HYPONYM(e-mail_messages, this_article)
HYPONYM(the_state, issues)
HYPONYM(dr._graham, witnesses)
HYPONYM(nuclear_program, issues)
HYPONYM(hepatitis, potential_maladies)
HYPONYM(income, the_garage)
HYPONYM(mr._van_bower, pool_experts)
HYPONYM(surgery, knee_pain)
HYPONYM(the_stadium, elements)
HYPONYM(other_identification_papers, documents)
HYPONYM(roe, important_rulings)
HYPONYM(the_failure, recent_setbacks)
HYPONYM(parmatour, family_tourism_companies)
HYPONYM(always_supplicants, clerics)
HYPONYM(two_lithographs, each_floor)
HYPONYM(mr._bezoza, analysts)
HYPONYM(the_juxtaposition, concerts)
HYPONYM(new_residential_subdivisions, way)
HYPONYM(a_pecan_sheller, players)
HYPONYM(loews, metropolitan_area)
HYPONYM(the_brickyard, the_championship)
HYPONYM(fuel, unpleasant_things)
HYPONYM(the_bassist_drew_gress, a_band)
HYPONYM(colonial_williamsburg, sites)
HYPONYM(walker_evans, other_photographers)
HYPONYM(the_two_previous_chief_executives, this_old_guard)
HYPONYM(president_bush, the_world)
HYPONYM(the_treatment, iraq)
HYPONYM(the_blues_queens, radio)
HYPONYM(network_protocols, data)
HYPONYM(invasive_body_searches, mistreatment)
HYPONYM(the_mille_miglia, the_decades)
HYPONYM(meetings, work-related_reasons)
HYPONYM(newsboys, several_christian_pop_stars)
HYPONYM(a_three-run_home, three_hits)
HYPONYM(warren_zevon, ms._sobule)
HYPONYM(some_waterfront_properties, high-priced_homes)
HYPONYM(the_arctic, remote_destinations)
HYPONYM(williams-sonoma, companies)
HYPONYM(wind_turbines, alternative_energy_equipment)
HYPONYM(football, other_sports)
HYPONYM(merv_griffin, questionable_icons)
HYPONYM(vermont, least_14_other_states)
HYPONYM(imad_hage, u._s._officials)
HYPONYM(mr._castaño, those_men)
HYPONYM(the_gallant_ship_unit_citation, honors)
HYPONYM($22,000, the_committee)
HYPONYM(latin, seven_languages)
HYPONYM(raytheon, corporate_america)
HYPONYM(the_c._i._a._congressional_leaders, 15_spy_agencies)
HYPONYM(scarsdale, towns)
HYPONYM(knoll, office_design)
HYPONYM(for-pay_firefighters, a_real_mix)
HYPONYM(low-income_taxpayers, support)
HYPONYM(vietnam, the_last_five_years)
HYPONYM(seven_bedrooms, 22_rooms)
HYPONYM(a_call, angry_exchanges)
HYPONYM(a_captain, the_firehouse)
HYPONYM(leveraged_finance, opportunities)
